炉号,钢种,钢号,转炉终点温度,转炉终点C,转炉终点Mn,转炉终点S,转炉终点P,转炉终点Si,钢水净重,连铸正样C,连铸正样Mn,连铸正样S,连铸正样P,连铸正样Si,连铸正样Ceq_val,连铸正样Cr,连铸正样Ni_val,连铸正样Cu_val,连铸正样Nb_val,连铸正样V_val,连铸正样Alt_val,连铸正样Als_val,连铸正样Mo_val,连铸正样Ti_val,连铸正样N_val,连铸正样O_val,连铸正样B_val,氮化钒铁FeV55N11-A,低铝硅铁,钒氮合金(进口),钒铁(FeV50-A),钒铁(FeV50-B),钒铁(FeV50-B).1,硅铝钙,硅铝合金FeAl30Si25,硅铝锰合金球,硅锰面（硅锰渣）,硅铁(合格块),硅铁FeSi75-B,石油焦增碳剂,锰硅合金FeMn64Si27(合格块),锰硅合金FeMn68Si18(合格块),碳化硅(55%),硅钙碳脱氧剂,加入C含量,吸收C质量,C收得率,加入Mn含量,吸收Mn质量,Mn收得率
7A06632             ,低合金    ,HRB500D    ,0.0,0.00081,0.0008,0.00033,0.00019,0.002,71700.0,0.0023,0.0141,0.00031,0.00023,0.0047,0.489,0.0026,0.006,0.018,,0.083,0.0063,0.0039,0.0038,0.0018,,,0.0005,0,0,77,0,0,0,0,25,0,0,0,150,85,0,1600,0,0,108.9835,106.833,0.9802676551955112,1062.4,953.6099999999999,0.8975997740963854
7A06631             ,低合金    ,HRB500D    ,1632.0,0.00031,0.0006,0.00042,0.00017,0.003,69100.0,0.0022,0.0148,0.00033,0.00019,0.0049,0.491,0.0024,0.008,0.024,,0.083,0.008,0.005,0.0057,0.0017,,,0.0006,0,0,75,0,0,0,0,75,0,0,0,150,102,0,1600,0,0,125.49050000000001,130.59900000000002,1.040708260784681,1062.4,981.22,0.9235881024096385
7A06630             ,低合金    ,HRB500D    ,0.0,0.00075,0.0008,0.00034,0.00014,0.002,74650.0,0.0022,0.0138,0.00032,0.00019,0.0046,0.474,0.0026,0.005,0.017,,0.083,0.0072,0.0045,0.0058,0.0018,,,0.0005,0,0,78,0,0,0,0,50,0,0,0,150,85,0,1600,0,0,109.077,108.2425,0.9923494412204223,1062.4,970.4499999999999,0.9134506777108432
7A06629             ,低合金    ,HRB500D    ,1660.0,0.0007,0.0008,0.00033,0.00015,0.002,72350.0,0.0022,0.0144,0.00033,0.00019,0.0049,0.485,0.0026,0.007,0.017,,0.084,0.0072,0.0045,0.0062,0.0021,,,0.0006,0,0,78,0,0,0,0,50,0,0,0,150,85,0,1600,0,0,109.077,108.525,0.994939354767733,1062.4,983.9599999999999,0.9261671686746986
7A06628             ,低合金    ,HRB500D    ,1632.0,0.0007,0.0007,0.00038,0.00016,0.002,73050.0,0.0023,0.0144,0.00036,0.00021,0.0047,0.495,0.0027,0.006,0.02,,0.082,0.0074,0.0046,0.0059,0.0027,,,0.0007,0,0,78,0,0,0,0,50,0,0,0,150,85,0,1600,0,0,109.077,116.88,1.0715366209191672,1062.4,1000.7850000000001,0.942003953313253
7A06627             ,低合金    ,HRB500D    ,1663.0,0.0008,0.0009,0.00041,0.00018,0.002,74000.0,0.0022,0.0139,0.00037,0.00023,0.0047,0.479,0.0028,0.008,0.02,,0.082,0.0061,0.0038,0.0076,0.0023,,,0.0008,0,0,78,0,0,0,0,25,0,0,0,150,85,0,1600,0,0,108.9835,103.60000000000001,0.9506026141571889,1062.4,962.0,0.9054969879518071
7A06626             ,低合金    ,HRB500D    ,0.0,0.00069,0.0009,0.00032,0.00012,0.002,69650.0,0.0022,0.0137,0.00027,0.00018,0.0046,0.473,0.0026,0.009,0.018,,0.082,0.2379,0.1868,0.0076,0.0027,,,0.0007,0,0,73,0,0,0,0,50,0,0,0,150,102,0,1460,0,0,123.017,105.17150000000001,0.854934683824187,969.44,891.5200000000001,0.9196237002805744
7A06625             ,低合金    ,HRB500D    ,1639.0,0.00074,0.0008,0.00039,0.00014,0.002,72800.0,0.0022,0.0147,0.0004,0.00018,0.005,0.49,0.0027,0.005,0.015,,0.085,0.0082,0.0051,0.006,0.0024,,,0.0006,0,0,78,0,0,0,0,50,0,0,0,150,85,0,1600,0,0,109.077,106.28800000000001,0.9744309066072592,1062.4,1011.92,0.952484939759036
7A06624             ,低合金    ,HRB500D    ,1655.0,0.00079,0.0007,0.00038,0.00014,0.002,72050.0,0.0021,0.014,0.00035,0.00018,0.0047,0.467,0.0024,0.004,0.015,,0.084,0.0069,0.0043,0.0041,0.0017,,,0.0006,0,0,76,0,0,0,0,50,0,0,0,150,85,0,1560,0,0,108.39699999999999,94.3855,0.8707390425934297,1035.8400000000001,958.2650000000001,0.9251090902069817
7A06623             ,低合金    ,HRB500D    ,1672.0,0.00071,0.0009,0.00027,0.00016,0.002,74000.0,0.0022,0.0143,0.0003,0.0002,0.0049,0.484,0.0029,0.009,0.016,,0.083,0.0069,0.0043,0.0069,0.0022,,,0.0005,0,0,77,0,0,0,0,50,0,0,0,160,85,0,1600,0,0,109.083,110.26,1.0107899489379648,1062.4,991.6,0.9333584337349397
7A06622             ,低合金    ,HRB500D    ,1645.0,0.00054,0.0008,0.00038,0.00015,0.002,72950.0,0.0021,0.0139,0.00036,0.00019,0.0047,0.466,0.0029,0.005,0.016,,0.081,0.0057,0.0036,0.0051,0.0017,,,0.0005,0,0,75,0,0,0,0,50,0,0,0,160,102,0,1560,0,0,124.72300000000001,113.80199999999998,0.912437962524955,1035.8400000000001,955.6449999999999,0.9225797420451032
7A06621             ,低合金    ,HRB500D    ,0.0,0.00074,0.001,0.00029,0.00012,0.002,73100.0,0.0022,0.0144,0.0003,0.00018,0.005,0.495,0.0065,0.03,0.017,,0.084,0.0072,0.0045,0.0081,0.0024,,,0.0005,0,0,78,0,0,0,0,50,0,0,0,160,85,0,1600,0,0,109.083,106.72600000000001,0.9783926001301763,1062.4,979.5399999999998,0.9220067771084335
7A06620             ,低合金    ,HRB500D    ,1672.0,0.00065,0.0012,0.00032,0.00028,0.002,74850.0,0.0022,0.0148,0.00031,0.00028,0.0051,0.492,0.003,0.004,0.015,,0.083,0.0063,0.0039,0.0053,0.0024,,,0.0006,0,0,79,0,0,0,0,50,0,0,0,180,102,0,1620,0,0,125.75500000000001,116.01750000000001,0.9225676911454813,1075.68,1017.96,0.9463409192324854
7A06618             ,低合金    ,HRB500D    ,1693.0,0.00058,,0.00035,,0.003,69950.0,0.0021,0.0146,0.0003,0.00025,0.0048,0.477,0.0029,0.004,0.014,,0.082,0.0041,0.002,0.0,0.001,,,0.0001,0,0,77,0,0,0,0,50,0,0,0,170,102,0,1520,0,0,124.049,106.32399999999998,0.8571129150577592,1009.2800000000001,,
7A06617             ,低合金    ,HRB500D    ,1705.0,0.00044,,0.00029,,0.002,75750.0,0.0021,0.0143,0.00033,0.00028,0.0047,0.472,0.0032,0.004,0.016,,0.081,0.0054,0.0033,0.0,0.0,,,0.0002,0,0,80,0,0,0,0,50,0,0,0,160,102,0,1552,0,0,124.587,125.74499999999999,1.0092947097209177,1030.528,,
7A06616             ,低合金    ,HRB500D    ,1744.0,0.00032,,0.00033,,0.002,73650.0,0.0022,0.0143,0.00034,0.0003,0.0046,0.482,0.0028,0.003,0.016,,0.082,0.007,0.0049,0.0,0.001,,,0.0002,0,0,78,0,0,0,0,100,0,0,187,0,119,0,1645,0,0,142.69119999999998,138.46200000000002,0.9703611715368574,1092.28,,
7A06615             ,低合金    ,HRB400B    ,1672.0,0.00069,,0.00026,,0.001,73300.0,0.0023,0.0132,0.00035,0.00026,0.0035,0.463,0.0025,0.006,0.015,,0.033,0.0043,0.0021,0.0,0.0,,,,0,0,5,0,0,40,25,0,0,0,0,0,68,0,1496,88,0,117.112,118.01299999999999,1.0076934899924859,993.344,,
7A06614             ,低合金    ,HRB400B    ,1680.0,0.0008,,0.00038,,0.002,73900.0,0.0024,0.0134,0.00039,0.00035,0.0036,0.477,0.0026,0.004,0.013,,0.035,0.0044,0.0021,0.0,0.0,,,,0,0,5,0,0,40,0,0,0,0,0,0,68,0,1560,88,20,122.71384616000002,118.24,0.9635424501798533,1035.8400000000001,,
7A06613             ,低合金    ,HRB400B    ,1669.0,0.00105,,0.00024,,0.002,73800.0,0.0023,0.0134,0.00034,0.00024,0.0036,0.467,0.0024,0.005,0.014,,0.035,0.0031,0.0009,0.0,0.0,,,,0,0,5,0,0,40,0,0,0,0,0,0,51,0,1539,88,20,106.03684616,92.25,0.8699806090121079,1021.8960000000001,,
7A06612             ,低合金    ,HRB400B    ,1684.0,0.00094,,0.00028,,0.002,74450.0,0.0023,0.0129,0.0003,0.00031,0.0036,0.458,0.0022,0.004,0.014,,0.033,0.0039,0.0017,0.0,0.0,,,,0,0,11,0,0,31,0,0,0,0,0,0,51,0,1468,88,20,104.82984616,101.25200000000001,0.9658699665118349,974.7520000000001,,
7A06611             ,低合金    ,HRB400B    ,1680.0,0.00079,,0.0003,,0.002,74000.0,0.0024,0.0133,0.00029,0.00031,0.0036,0.475,0.0026,0.007,0.017,,0.034,0.0037,0.0015,0.0,0.0,,,,0,0,11,0,0,30,0,0,0,0,0,0,68,0,1516,88,20,121.96584616,119.13999999999999,0.9768308403625311,1006.624,,
7A06610             ,低合金    ,HRB400B    ,1677.0,0.00067,,0.0002,,0.003,74150.0,0.0023,0.0133,0.00028,0.00033,0.0036,0.466,0.0028,0.006,0.015,,0.033,0.0036,0.0014,0.0,0.0,,,,0,0,5,0,0,40,25,0,0,0,0,0,85,0,1522,88,0,133.874,120.86449999999999,0.902822803531679,1010.6080000000001,,
7A06609             ,低合金    ,HRB400B    ,1679.0,0.00089,,0.00022,,0.002,74650.0,0.0023,0.0129,0.00029,0.00026,0.0034,0.459,0.0026,0.006,0.016,,0.033,0.0036,0.0014,0.0001,0.0,,,,0,0,4,0,0,39,0,0,0,0,0,0,51,0,1464,88,20,104.76184615999999,105.2565,1.004721698386687,972.096,,
7A06608             ,低合金    ,HRB400B    ,1645.0,0.00073,,0.00019,,0.002,70800.0,0.0023,0.013,0.0003,0.00017,0.0034,0.459,0.0021,0.006,0.016,,0.034,0.003,0.0008,0.0,0.0,,,,0,0,4,0,0,40,25,0,0,0,0,0,68,0,1473,88,0,116.721,111.156,0.9523222042306012,978.072,,
7A06607             ,低合金    ,HRB400D    ,1663.0,0.00065,,0.00028,,0.002,71150.0,0.0023,0.0136,0.00034,0.00026,0.0035,0.47,0.0027,0.007,0.017,,0.032,0.0212,0.0187,0.0,0.001,,,,0,0,9,0,0,29,25,0,0,0,0,0,85,0,1506,88,0,133.602,117.3975,0.8787106480441909,999.984,,
7A06606             ,低合金    ,HRB400D    ,1660.0,0.00064,,0.00021,,0.002,71800.0,0.0024,0.0131,0.00033,0.00022,0.0034,0.471,0.0027,0.006,0.014,,0.031,0.0037,0.0015,0.0,0.0,,,,0,0,9,0,0,29,25,0,0,0,0,0,68,0,1509,88,0,117.333,126.368,1.077003059667783,1001.976,,
7A06605             ,低合金    ,HRB400D    ,1676.0,0.00075,,0.00027,,0.002,72250.0,0.0023,0.0132,0.00031,0.00023,0.0035,0.464,0.0033,0.007,0.015,,0.031,0.0044,0.0022,0.0,0.0,,,,0,0,10,0,0,30,25,0,0,0,0,0,68,0,1600,88,0,118.88,111.9875,0.9420213660834456,1062.4,,
7A06604             ,低合金    ,HRB400D    ,1666.0,0.00069,,0.00029,,0.002,75550.0,0.0024,0.0133,0.00035,0.00024,0.0033,0.475,0.0027,0.007,0.017,,0.032,0.0043,0.0021,0.0,0.0,,,,0,0,9,0,0,29,25,0,0,0,0,0,85,0,1520,88,0,133.84,129.1905,0.9652607591153615,1009.2800000000001,,
7A06603             ,低合金    ,HRB400D    ,1679.0,0.0009,,0.00026,,0.002,71050.0,0.0024,0.0132,0.00027,0.00018,0.0034,0.472,0.0023,0.005,0.013,,0.031,0.0038,0.0016,0.0001,0.0,,,,0,0,9,0,0,29,0,0,0,0,0,0,51,0,1492,88,20,105.23784615999999,106.57499999999999,1.0127060167876016,990.6880000000001,,
7A06602             ,低合金    ,HRB400D    ,1667.0,0.00094,,0.00025,,0.002,71600.0,0.0023,0.0134,0.00036,0.00028,0.0039,0.467,0.0029,0.007,0.016,,0.03,0.0041,0.0019,0.0002,0.0,,,,0,0,9,0,0,29,25,0,0,0,0,0,51,0,1500,132,0,114.06,97.376,0.8537261090654042,996.0,,
7A06601             ,低合金    ,HRB400D    ,1651.0,0.00058,,0.00033,,0.002,73500.0,0.0023,0.0134,0.00033,0.00023,0.004,0.467,0.0025,0.007,0.018,,0.033,0.0169,0.0141,0.0003,0.0,,,,0,0,28,0,0,0,75,0,0,0,0,0,90,0,1500,132,0,151.5,126.42,0.8344554455445544,996.0,,
7A06600             ,低合金    ,HRB400B    ,1663.0,0.0004,,0.00036,,0.002,71050.0,0.0023,0.0129,0.00034,0.00031,0.0038,0.461,0.0036,0.007,0.018,,0.034,0.0044,0.0021,0.0,0.0,,,,0,0,0,0,0,47,50,0,0,0,0,0,85,0,1450,132,0,145.85,134.995,0.9255742200891327,962.8000000000001,,
7A06599             ,低合金    ,HRB400B    ,1667.0,0.00071,,0.00027,,0.002,73650.0,0.0023,0.0131,0.0003,0.00031,0.0038,0.467,0.0044,0.007,0.016,,0.035,0.0044,0.0021,0.0,0.0,,,,0,0,0,0,0,48,25,0,0,0,0,0,51,0,1450,132,0,113.21000000000001,117.10349999999998,1.0343918381768393,962.8000000000001,,
7A06598             ,低合金    ,HRB400D    ,1658.0,0.00072,,0.00031,,0.002,72300.0,0.0023,0.0132,0.00031,0.00029,0.0039,0.463,0.0026,0.005,0.015,,0.031,0.0042,0.002,0.0,0.0,,,,0,0,9,0,0,29,25,0,0,0,0,0,58,0,1480,132,0,120.44,114.23399999999998,0.9484722683493855,982.72,,
7A06597             ,低合金    ,HRB400D    ,1647.0,0.00065,,0.00035,,0.002,72050.0,0.0024,0.0131,0.00031,0.00026,0.0038,0.47,0.0021,0.006,0.018,,0.031,0.0047,0.0024,0.0001,0.0,,,,0,0,9,0,0,29,50,0,0,0,0,0,68,0,1500,132,0,130.38,126.08749999999999,0.9670770056757171,996.0,,
7A06596             ,低合金    ,HRB400D    ,1656.0,0.00039,,0.00036,,0.002,71750.0,0.0023,0.0131,0.00036,0.0003,0.0039,0.461,0.0025,0.006,0.016,,0.031,0.004,0.0018,0.0,0.0,,,,0,0,9,0,0,30,75,0,0,0,0,0,85,0,1550,132,0,147.54999999999998,137.0425,0.9287868519146053,1029.2,,
7A06595             ,低合金    ,HRB400D    ,1652.0,0.00056,,0.00036,,0.002,74300.0,0.0024,0.0128,0.00034,0.00026,0.0038,0.467,0.003,0.006,0.015,,0.03,0.004,0.0018,0.0,0.0,,,,0,0,9,0,0,29,50,0,0,0,0,0,70,0,1480,132,0,131.96,136.712,1.0360109123976962,982.72,,
7A06594             ,低合金    ,HRB400D    ,1666.0,0.00052,,0.00039,,0.002,74900.0,0.0024,0.0136,0.00032,0.00027,0.004,0.479,0.0023,0.005,0.015,,0.032,0.0037,0.0015,0.0,0.0,,,,0,0,9,0,0,30,50,0,0,0,0,0,90,0,1610,132,0,153.37,140.81199999999998,0.9181195801004106,1069.04,,
7A06593             ,低合金    ,HRB400D    ,1668.0,0.00067,,0.00039,,0.002,74000.0,0.0024,0.0131,0.00035,0.00025,0.0037,0.472,0.0029,0.006,0.018,,0.031,0.0036,0.0014,0.0,0.0,,,,0,0,9,0,0,30,25,0,0,0,0,0,68,0,1620,132,0,132.42000000000002,128.01999999999998,0.9667723908775107,1075.68,,
7A06592             ,低合金    ,HRB400D    ,1652.0,0.00103,,0.00026,,0.002,76050.0,0.0024,0.0133,0.00039,0.00025,0.004,0.475,0.0028,0.006,0.015,,0.031,0.0032,0.001,0.0001,0.0,,,,0,0,9,0,0,30,0,0,0,0,0,0,34,0,1510,132,20,102.42384616,104.18849999999998,1.0172289355082735,1002.6400000000001,,
7A06591             ,低合金    ,HRB400D    ,1663.0,0.00033,,0.00033,,0.001,75100.0,0.0023,0.0129,0.00034,0.00032,0.0037,0.458,0.0027,0.005,0.013,,0.031,0.0044,0.0021,0.0,0.0,,,,0,0,9,0,0,30,50,0,0,0,0,0,85,0,1580,132,0,148.06,147.947,0.9992367958935566,1049.1200000000001,,
7A06590             ,低合金    ,HRB400D    ,1671.0,0.00082,,0.00029,,0.002,75800.0,0.0022,0.0136,0.00032,0.00033,0.0039,0.461,0.0031,0.006,0.016,,0.032,0.0215,0.019,0.0003,0.002,,,,0,0,9,0,0,28,0,0,0,0,0,0,51,0,1530,132,20,119.08384616,104.60400000000001,0.8784062941623082,1015.9200000000001,,
7A06589             ,低合金    ,HRB400D    ,1666.0,0.00048,,0.00036,,0.003,72500.0,0.0024,0.0133,0.00036,0.00036,0.0038,0.476,0.003,0.005,0.016,,0.032,0.0044,0.0021,0.0001,0.0,,,,0,0,9,0,0,29,50,0,0,0,0,0,78,0,1540,132,0,140.66,139.2,0.989620361154557,1022.5600000000001,,
7A06588             ,低合金    ,HRB400D    ,1656.0,0.0008,,0.00024,,0.002,74450.0,0.0024,0.0138,0.00028,0.00021,0.004,0.484,0.0027,0.007,0.016,,0.034,0.0036,0.0014,0.0001,0.0,,,,0,0,9,0,0,30,0,0,0,0,0,0,68,0,1490,132,20,134.72384616,119.11999999999999,0.8841790328531102,989.36,,
7A06587             ,低合金    ,HRB400D    ,1640.0,0.00063,,0.00033,,0.002,71100.0,0.0024,0.0136,0.00034,0.00024,0.0039,0.48,0.0027,0.006,0.014,,0.031,0.0049,0.0026,0.0003,0.0,,,,0,0,9,0,0,30,50,0,0,0,0,0,68,0,1520,132,0,130.72,125.847,0.9627218482252141,1009.2800000000001,,
7A06586             ,低合金    ,HRB400D    ,1648.0,0.00068,,0.00033,,0.003,73650.0,0.0022,0.0131,0.00034,0.00025,0.0036,0.451,0.0024,0.006,0.013,,0.03,0.0044,0.0022,0.0001,0.0,,,,0,0,9,0,0,28,50,0,0,0,0,0,68,0,1480,132,0,130.04,111.94800000000001,0.8608735773608122,982.72,,
7A06585             ,低合金    ,HRB400D    ,1676.0,0.00071,,0.00036,,0.003,73750.0,0.0023,0.0133,0.00036,0.00034,0.0038,0.465,0.0029,0.004,0.015,,0.032,0.0042,0.002,0.0003,0.0,,,,0,0,9,0,0,29,25,0,0,0,0,0,68,0,1520,132,0,130.72,117.26249999999999,0.8970509485924112,1009.2800000000001,,
7A06584             ,低合金    ,HRB400D    ,1656.0,0.00068,,0.00033,,0.003,73550.0,0.0023,0.0132,0.00032,0.00021,0.0037,0.461,0.0022,0.004,0.012,,0.03,0.0044,0.0022,0.0005,0.0,,,,0,0,8,0,0,27,50,0,0,0,0,0,68,0,1400,132,0,128.68,119.151,0.925948088281007,929.6,,
7A06583             ,低合金    ,HRB400D    ,1606.0,0.00058,,0.00036,,0.002,68200.0,0.0024,0.0134,0.00034,0.00024,0.0039,0.477,0.0027,0.006,0.016,,0.031,0.0036,0.0014,0.0007,0.0,,,,0,0,9,0,0,28,50,0,0,0,0,0,68,0,1520,132,0,130.72,124.12399999999998,0.9495410036719705,1009.2800000000001,,
7A06582             ,低合金    ,HRB400D    ,1669.0,0.00071,,0.00033,,0.002,71250.0,0.0024,0.013,0.00036,0.00028,0.0037,0.47,0.0025,0.005,0.012,,0.031,0.0037,0.0015,0.0005,0.0,,,,0,0,9,0,0,29,50,0,0,0,0,0,68,0,1520,132,0,130.72,120.41249999999998,0.9211482558139533,1009.2800000000001,,
7A06581             ,低合金    ,HRB400D    ,1678.0,0.00067,,0.00027,,0.002,73650.0,0.0022,0.0133,0.00027,0.0002,0.0037,0.453,0.002,0.005,0.012,,0.032,0.0048,0.0026,0.0008,0.0,,,,0,0,29,0,0,0,25,0,0,0,0,0,68,0,1520,132,0,130.72,112.68450000000001,0.86202952876377,1009.2800000000001,,
7A06580             ,低合金    ,HRB400D    ,1652.0,0.00069,,0.00033,,0.002,73550.0,0.0024,0.0133,0.0003,0.00024,0.0038,0.473,0.0021,0.004,0.012,,0.031,0.0044,0.0022,0.0,0.0,,,,0,0,9,0,0,39,25,0,0,0,0,0,68,0,1480,132,0,130.04,125.77049999999998,0.9671677945247615,982.72,,
7A06579             ,低合金    ,HRB400D    ,1648.0,0.00065,,0.00036,,0.002,72400.0,0.0024,0.0134,0.00035,0.00026,0.004,0.476,0.0026,0.005,0.013,,0.032,0.0045,0.0023,0.0004,0.0,,,,0,0,9,0,0,28,25,0,0,0,0,0,68,0,1440,132,0,129.36,126.69999999999999,0.9794372294372292,956.1600000000001,,
7A06578             ,低合金    ,HRB400D    ,1804.0,0.00061,,0.00031,,0.003,69850.0,0.0023,0.0135,0.00029,0.0003,0.0039,0.469,0.0029,0.007,0.017,,0.034,0.0045,0.0023,0.0004,0.0,,,,0,0,10,0,0,30,25,0,0,0,0,0,85,0,1480,132,0,146.35999999999999,118.04650000000001,0.806548920470074,982.72,,
7A06577             ,低合金    ,HRB400D    ,1658.0,0.00045,,0.00028,,0.003,74050.0,0.0023,0.0133,0.00024,0.00029,0.0037,0.464,0.002,0.006,0.014,,0.032,0.0049,0.0026,0.0003,0.0,,,,0,0,30,0,0,0,50,0,0,0,0,0,85,0,1550,132,0,147.54999999999998,136.9925,0.9284479837343275,1029.2,,
7A06576             ,低合金    ,HRB400D    ,1658.0,0.00045,,0.00032,,0.003,73950.0,0.0022,0.0134,0.0003,0.00032,0.0037,0.458,0.0021,0.005,0.014,,0.043,0.5185,0.4244,0.0012,0.0,,,,0,0,35,0,0,0,50,0,0,0,0,0,0,0,1610,132,0,66.97,129.41250000000002,1.9323951022846053,1069.04,,
7A06575             ,低合金    ,HRB400D    ,1666.0,0.00045,,0.00026,,0.003,72600.0,0.0023,0.0137,0.00028,0.00035,0.0038,0.47,0.0021,0.005,0.012,,0.033,0.0051,0.0028,0.0,0.0,,,,0,0,10,0,0,30,50,0,0,0,0,0,85,0,1600,132,0,148.4,134.31,0.9050539083557951,1062.4,,
7A06574             ,低合金    ,HRB400D    ,1650.0,0.00048,,0.00031,,0.003,74850.0,0.0023,0.0129,0.0003,0.00021,0.0036,0.456,0.0019,0.004,0.012,,0.03,0.0045,0.0023,0.0001,0.0,,,,0,0,9,0,0,29,50,0,0,0,0,0,85,0,1480,132,0,146.35999999999999,136.227,0.9307666028969666,982.72,,
7A06573             ,低合金    ,HRB400D    ,1639.0,0.00054,,0.00037,,0.003,74500.0,0.0024,0.0131,0.00035,0.00033,0.0037,0.469,0.0019,0.002,0.01,,0.031,0.0046,0.0023,0.0,0.0,,,,0,0,9,0,0,30,50,0,0,0,0,0,85,0,1500,132,0,146.7,138.56999999999996,0.9445807770961143,996.0,,
7A06572             ,低合金    ,HRB400D    ,1640.0,0.00054,,0.00032,,0.003,73400.0,0.0023,0.0137,0.00034,0.00021,0.0038,0.461,0.0024,0.006,0.014,,0.032,0.0052,0.0029,0.0008,0.0,,,,0,0,9,0,0,28,50,0,0,200,0,0,85,0,1320,132,0,147.04,129.184,0.8785636561479869,1009.28,,
7A06571             ,低合金    ,HRB400D    ,1655.0,0.00054,,0.00035,,0.003,73100.0,0.0023,0.0131,0.00033,0.00023,0.004,0.46,0.0023,0.006,0.015,,0.031,0.0045,0.0023,0.0001,0.0,,,,0,0,9,0,0,28,50,0,0,200,0,0,85,0,1300,132,0,146.7,128.65599999999998,0.8770006816632583,996.0,,
7A06570             ,低合金    ,HRB400D    ,1648.0,0.00068,,0.00033,,0.002,71950.0,0.0024,0.0134,0.00034,0.00023,0.004,0.475,0.0022,0.005,0.012,,0.031,0.0053,0.003,0.0,0.0,,,,0,0,9,0,0,28,25,0,0,200,0,0,68,0,1500,132,0,133.78,123.75399999999998,0.9250560621916578,1128.8,,
7A06569             ,低合金    ,HRB400D    ,1655.0,0.00049,,0.0003,,0.002,73400.0,0.0023,0.0132,0.00032,0.00021,0.0036,0.461,0.0021,0.005,0.013,,0.031,0.0044,0.0022,0.0008,0.0,,,,0,0,9,0,0,28,50,0,0,200,0,0,80,0,1300,132,0,141.9,132.85399999999998,0.9362508809020436,996.0,,
7A06568             ,低合金    ,HRB400D    ,1653.0,0.00068,,0.00035,,0.002,72000.0,0.0024,0.0133,0.00033,0.00022,0.0038,0.474,0.0024,0.005,0.014,,0.03,0.0042,0.002,0.0002,0.0,,,,0,0,9,0,0,28,25,0,0,200,0,0,68,0,1320,132,0,130.72,123.83999999999997,0.9473684210526314,1009.28,,
7A06567             ,低合金    ,HRB400D    ,1634.0,0.00065,,0.00039,,0.003,63600.0,0.0024,0.0135,0.00035,0.00024,0.0037,0.475,0.0017,0.003,0.01,,0.03,0.0043,0.0021,0.0001,0.0,,,,0,0,9,0,0,28,25,0,0,200,0,0,85,0,1300,132,0,146.7,111.29999999999998,0.7586912065439673,996.0,,
7A06566             ,低合金    ,HRB400D    ,1638.0,0.00051,,0.00039,,0.003,73500.0,0.0024,0.0131,0.00038,0.00025,0.0038,0.47,0.0022,0.005,0.014,,0.03,0.0038,0.0016,0.0006,0.0,,,,0,0,9,0,0,28,50,0,0,200,0,0,85,0,1320,132,0,147.04,138.915,0.9447429270946681,1009.28,,
7A06565             ,低合金    ,HRB400D    ,1663.0,0.00058,,0.00038,,0.003,74800.0,0.0023,0.0136,0.00034,0.0003,0.0038,0.469,0.0026,0.006,0.015,,0.03,0.0036,0.0014,0.0002,0.001,,,,0,0,9,0,0,28,50,0,0,200,0,0,80,0,1320,132,0,142.24,128.656,0.9044994375703037,1009.28,,
7A06564             ,低合金    ,HRB400D    ,1648.0,0.00065,,0.00033,,0.003,68050.0,0.0023,0.0134,0.00033,0.0003,0.0036,0.467,0.0028,0.006,0.017,,0.031,0.3195,0.2565,0.0007,0.001,,,,0,0,9,0,0,28,25,0,0,200,0,0,68,0,1300,132,0,130.38,112.2825,0.8611942015646572,996.0,,
7A06563             ,低合金    ,HRB400D    ,1656.0,0.00058,,0.00031,,0.003,64300.0,0.0024,0.0132,0.00035,0.00019,0.0038,0.471,0.0021,0.005,0.014,,0.03,0.0049,0.0026,0.0001,0.0,,,,0,0,0,0,0,28,50,0,0,200,0,0,75,0,1300,132,0,137.1,117.02599999999998,0.8535813274981764,996.0,,
7A06562             ,低合金    ,HRB400D    ,1655.0,0.0003,,0.00029,,0.003,73750.0,0.0023,0.0134,0.00033,0.00031,0.0037,0.465,0.0023,0.005,0.014,,0.031,0.0047,0.0025,0.0002,0.0,,,,0,0,9,0,0,28,50,0,0,200,0,0,102,0,1320,132,0,163.36,147.5,0.9029138099902057,1009.28,,
7A06561             ,低合金    ,HRB400D    ,1653.0,0.00047,,0.00032,,0.003,74600.0,0.0024,0.0138,0.00031,0.00032,0.004,0.483,0.0026,0.005,0.015,,0.03,0.0043,0.0021,0.0008,0.0,,,,0,0,9,0,0,28,50,0,0,200,0,0,90,0,1350,132,0,152.35,143.97799999999998,0.94504758779127,1029.2,,
7A06560             ,低合金    ,HRB400D    ,1639.0,0.00076,,0.00039,,0.003,68650.0,0.0023,0.0133,0.00033,0.0003,0.0038,0.465,0.0029,0.005,0.017,,0.031,0.0044,0.0022,0.0007,0.0,,,,0,0,9,0,0,28,25,0,0,200,0,0,60,0,1300,132,0,122.69999999999999,105.72099999999999,0.8616218418907905,996.0,,
7A06559             ,低合金    ,HRB400D    ,1634.0,0.00045,,0.00033,,0.003,72900.0,0.0023,0.0136,0.00033,0.00028,0.004,0.47,0.0027,0.005,0.014,,0.03,0.0032,0.001,0.0006,0.0,,,,0,0,9,0,0,30,50,0,0,200,0,0,95,0,1340,132,0,156.98000000000002,134.865,0.8591221811695757,1022.56,,
